CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
1	2020	1	3	0	2.1	0.5	0.5	0.51
2	2020	1	3	0	2.1	11.77	12.5	12.13
3	2020	1	3	0	2.1	2.01	2.02	2.42
4	2020	1	3	0	2.1	0.47	0.47	0.48
5	2020	1	3	0	2.1	0.19	0.19	0.47
6	2020	1	3	0	2.1	2.28	2.28	3.02
7	2020	1	3	0	2.1	0.1	0.06	0.1
8	2020	1	3	0	2.1	1.82	1.81	1.81
9	2020	1	3	0	2.1	0.51	0.51	0.52
1	2020	1	4	0	1.4	2.27	2.27	2.13
2	2020	1	4	0	1.4	19.27	21.72	22.09
3	2020	1	4	0	1.4	18.06	18.07	13.05
4	2020	1	4	0	1.4	2.14	2.16	0.88
5	2020	1	4	0	1.4	0.89	0.67	0.54
6	2020	1	4	0	1.4	9.09	9.09	4.49
7	2020	1	4	0	1.4	0.41	0.35	0.31
8	2020	1	4	0	1.4	3.58	3.61	1.28
9	2020	1	4	0	1.4	1.14	1.16	0.65
1	2020	1	5	0	0.0	1.73	1.73	1.75
2	2020	1	5	0	0.0	1.72	2.01	2.31
3	2020	1	5	0	0.0	4.75	4.75	5.54
4	2020	1	5	0	0.0	2.8	3.09	3.83
5	2020	1	5	0	0.0	0.44	0.42	0.43
6	2020	1	5	0	0.0	5.42	5.42	8.3
7	2020	1	5	0	0.0	0.66	0.71	0.75
8	2020	1	5	0	0.0	1.51	1.51	1.5
9	2020	1	5	0	0.0	1.11	1.24	1.19
1	2020	1	6	0	0.0	1.47	1.47	1.5
2	2020	1	6	0	0.0	5.96	5.87	6.33
3	2020	1	6	0	0.0	4.3	4.29	4.61
4	2020	1	6	0	0.0	0.65	0.68	0.67
5	2020	1	6	0	0.0	0.28	0.33	0.75
6	2020	1	6	0	0.0	1.56	1.56	4.4
7	2020	1	6	0	0.0	0.13	0.21	0.24
8	2020	1	6	0	0.0	2.3	2.29	2.2
9	2020	1	6	0	0.0	0.57	0.58	0.57
1	2020	1	7	0	0.0	1.45	1.44	1.22
2	2020	1	7	0	0.0	10.06	11.49	8.25
3	2020	1	7	0	0.0	5.61	5.58	5.85
4	2020	1	7	0	0.0	0.88	0.92	0.84
5	2020	1	7	0	0.0	1.68	0.65	1.77
6	2020	1	7	0	0.0	0.71	0.71	0.73
7	2020	1	7	0	0.0	0.53	0.3	0.37
8	2020	1	7	0	0.0	5.5	5.45	4.9
9	2020	1	7	0	0.0	0.61	0.6	0.6
1	2020	1	8	0	0.0	2.05	2.06	2.42
2	2020	1	8	0	0.0	9.63	10.63	11.36
3	2020	1	8	0	0.0	16.13	16.17	17.66
4	2020	1	8	0	0.0	1.87	1.92	2.11
5	2020	1	8	0	0.0	3.62	1.96	1.31
6	2020	1	8	0	0.0	1.46	1.46	3.61
7	2020	1	8	0	0.0	0.36	0.47	0.38
8	2020	1	8	0	0.0	4.18	4.13	3.65
9	2020	1	8	0	0.0	1.74	1.37	1.3
1	2020	1	9	0	0.0	3.83	3.84	4.31
2	2020	1	9	0	0.0	27.99	30.11	29.26
3	2020	1	9	0	0.0	14.56	14.59	15.17
4	2020	1	9	0	0.0	0.61	0.61	0.6
5	2020	1	9	0	0.0	2.48	2.64	2.55
6	2020	1	9	0	0.0	6.73	6.73	6.79
7	2020	1	9	0	0.0	0.14	0.12	0.18
8	2020	1	9	0	0.0	2.62	2.63	2.75
9	2020	1	9	0	0.0	0.66	0.7	0.7
1	2020	1	10	0	1.1	1.95	1.95	1.58
2	2020	1	10	0	1.1	9.76	13.99	18.26
3	2020	1	10	0	1.1	17.71	17.66	16.73
4	2020	1	10	0	1.1	8.04	7.99	3.58
5	2020	1	10	0	1.1	1.07	0.74	1.89
6	2020	1	10	0	1.1	7.03	7.03	6.91
7	2020	1	10	0	1.1	1.42	1.12	1.17
8	2020	1	10	0	1.1	2.35	2.36	1.6
9	2020	1	10	0	1.1	2.37	2.3	1.29
1	2020	1	11	0	0.0	2.37	2.37	1.98
2	2020	1	11	0	0.0	10.26	10.99	12.41
3	2020	1	11	0	0.0	4.15	4.14	4.33
4	2020	1	11	0	0.0	0.7	0.7	0.68
5	2020	1	11	0	0.0	1.72	1.55	1.55
6	2020	1	11	0	0.0	10.93	10.93	7.56
7	2020	1	11	0	0.0	0.68	0.87	1.3
8	2020	1	11	0	0.0	1.91	1.91	2.38
9	2020	1	11	0	0.0	0.55	0.54	0.56
1	2020	1	12	0	0.0	0.78	0.78	1.14
2	2020	1	12	0	0.0	3.86	4.48	4.9
3	2020	1	12	0	0.0	2.15	2.14	2.08
4	2020	1	12	0	0.0	0.62	0.64	0.75
5	2020	1	12	0	0.0	0.3	0.45	0.11
6	2020	1	12	0	0.0	0.85	0.85	1.02
7	2020	1	12	0	0.0	0.08	0.05	0.24
8	2020	1	12	0	0.0	3.29	2.92	4.1
9	2020	1	12	0	0.0	0.55	0.54	0.55
1	2020	1	13	0	12.7	5.35	5.33	3.66
2	2020	1	13	0	12.7	15.24	15.92	16.42
3	2020	1	13	0	12.7	19.99	19.93	12.26
4	2020	1	13	0	12.7	2.32	2.32	0.8
5	2020	1	13	0	12.7	2.12	1.95	1.76
6	2020	1	13	0	12.7	4.15	4.15	8.73
7	2020	1	13	0	12.7	0.94	1.14	1.05
8	2020	1	13	0	12.7	3.76	3.77	3.44
9	2020	1	13	0	12.7	4.3	4.86	2.41
1	2020	1	14	0	0.0	3.02	3.0	3.43
2	2020	1	14	0	0.0	15.01	16.33	15.56
3	2020	1	14	0	0.0	3.54	3.53	4.77
4	2020	1	14	0	0.0	0.59	0.63	0.73
5	2020	1	14	0	0.0	1.76	1.47	1.8
6	2020	1	14	0	0.0	1.75	1.75	1.87
7	2020	1	14	0	0.0	0.58	0.6	1.29
8	2020	1	14	0	0.0	5.1	5.08	4.96
9	2020	1	14	0	0.0	0.53	0.53	0.51
1	2020	1	15	0	0.0	0.54	0.55	0.69
2	2020	1	15	0	0.0	6.73	7.62	9.53
3	2020	1	15	0	0.0	1.47	1.47	1.54
4	2020	1	15	0	0.0	0.46	0.46	0.47
5	2020	1	15	0	0.0	0.55	0.51	0.08
6	2020	1	15	0	0.0	0.99	0.99	1.23
7	2020	1	15	0	0.0	0.01	0.05	0.05
8	2020	1	15	0	0.0	1.61	1.63	1.16
9	2020	1	15	0	0.0	0.58	0.58	0.63
1	2020	1	16	0	0.0	1.55	1.56	1.72
2	2020	1	16	0	0.0	7.76	6.07	5.84
3	2020	1	16	0	0.0	3.68	3.69	2.85
4	2020	1	16	0	0.0	0.78	1.41	2.21
5	2020	1	16	0	0.0	0.41	0.26	0.1
6	2020	1	16	0	0.0	0.92	0.92	1.95
7	2020	1	16	0	0.0	0.15	0.18	0.14
8	2020	1	16	0	0.0	1.47	1.47	1.5
9	2020	1	16	0	0.0	0.67	0.6	0.54
1	2020	1	18	0	0.0	3.94	3.94	1.73
2	2020	1	18	0	0.0	1.08	5.28	6.5
3	2020	1	18	0	0.0	2.33	2.33	2.55
4	2020	1	18	0	0.0	1.44	1.42	1.65
5	2020	1	18	0	0.0	0.95	0.95	1.45
6	2020	1	18	0	0.0	2.69	2.69	1.91
7	2020	1	18	0	0.0	0.49	0.73	0.19
8	2020	1	18	0	0.0	4.05	4.04	3.72
9	2020	1	18	0	0.0	0.67	0.63	1.4
1	2020	1	19	0	0.0	0.63	0.62	0.61
2	2020	1	19	0	0.0	4.03	4.02	5.72
3	2020	1	19	0	0.0	2.59	2.58	2.06
4	2020	1	19	0	0.0	0.98	1.26	1.29
5	2020	1	19	0	0.0	0.49	0.72	0.02
6	2020	1	19	0	0.0	1.0	1.0	1.65
7	2020	1	19	0	0.0	0.05	0.1	0.07
8	2020	1	19	0	0.0	2.18	2.18	2.21
9	2020	1	19	0	0.0	0.59	0.59	0.55
1	2020	1	20	0	0.0	1.2	1.2	1.43
2	2020	1	20	0	0.0	5.35	4.96	4.38
3	2020	1	20	0	0.0	2.46	2.47	2.45
4	2020	1	20	0	0.0	1.11	2.61	3.28
5	2020	1	20	0	0.0	0.84	0.74	0.38
6	2020	1	20	0	0.0	1.58	1.58	2.06
7	2020	1	20	0	0.0	0.26	0.26	0.16
8	2020	1	20	0	0.0	4.32	4.29	3.58
9	2020	1	20	0	0.0	0.57	0.57	0.65
1	2020	1	21	0	0.0	0.86	0.86	0.13
2	2020	1	21	0	0.0	8.73	8.96	9.38
3	2020	1	21	0	0.0	2.71	2.71	0.63
4	2020	1	21	0	0.0	0.42	0.42	0.41
5	2020	1	21	0	0.0	0.09	0.05	0.3
6	2020	1	21	0	0.0	1.17	1.17	4.28
7	2020	1	21	0	0.0	0.11	0.14	0.0
8	2020	1	21	0	0.0	0.95	0.96	0.7
9	2020	1	21	0	0.0	0.59	0.52	0.57
1	2020	1	22	0	0.0	1.99	2.01	1.71
2	2020	1	22	0	0.0	11.82	7.67	21.2
3	2020	1	22	0	0.0	7.64	7.72	6.29
4	2020	1	22	0	0.0	0.72	0.72	0.7
5	2020	1	22	0	0.0	0.41	0.41	0.47
6	2020	1	22	0	0.0	3.1	3.1	4.05
7	2020	1	22	0	0.0	0.15	0.99	0.33
8	2020	1	22	0	0.0	1.14	1.16	0.84
9	2020	1	22	0	0.0	0.59	0.58	0.88
1	2020	1	23	0	0.0	1.26	1.26	1.75
2	2020	1	23	0	0.0	1.37	1.19	1.61
3	2020	1	23	0	0.0	2.33	2.33	3.59
4	2020	1	23	0	0.0	1.08	1.09	3.24
5	2020	1	23	0	0.0	0.39	0.39	1.03
6	2020	1	23	0	0.0	5.41	5.41	6.83
7	2020	1	23	0	0.0	0.49	0.47	0.97
8	2020	1	23	0	0.0	1.28	1.28	0.93
9	2020	1	23	0	0.0	0.64	0.65	0.84
1	2020	1	24	0	0.0	3.37	3.36	2.77
2	2020	1	24	0	0.0	11.93	11.66	16.59
3	2020	1	24	0	0.0	6.48	6.46	3.96
4	2020	1	24	0	0.0	0.84	0.86	0.73
5	2020	1	24	0	0.0	0.4	0.31	0.06
6	2020	1	24	0	0.0	1.44	1.44	7.26
7	2020	1	24	0	0.0	0.26	0.74	0.28
8	2020	1	24	0	0.0	5.17	5.16	3.79
9	2020	1	24	0	0.0	0.57	0.58	0.57
1	2020	1	25	0	0.0	3.95	3.95	4.09
2	2020	1	25	0	0.0	11.94	10.82	13.53
3	2020	1	25	0	0.0	24.82	24.77	20.97
4	2020	1	25	0	0.0	1.16	1.25	1.21
5	2020	1	25	0	0.0	2.43	2.54	1.06
6	2020	1	25	0	0.0	2.27	2.27	3.41
7	2020	1	25	0	0.0	0.57	0.82	0.86
8	2020	1	25	0	0.0	1.99	1.98	1.9
9	2020	1	25	0	0.0	0.8	0.77	0.79
1	2020	1	26	0	0.0	1.3	1.29	1.35
2	2020	1	26	0	0.0	2.02	1.79	1.38
3	2020	1	26	0	0.0	6.0	5.97	5.97
4	2020	1	26	0	0.0	2.04	2.05	1.76
5	2020	1	26	0	0.0	0.54	0.42	0.25
6	2020	1	26	0	0.0	4.38	4.38	5.58
7	2020	1	26	0	0.0	0.29	0.39	0.35
8	2020	1	26	0	0.0	1.14	1.15	1.65
9	2020	1	26	0	0.0	0.74	0.78	0.73
1	2020	1	27	0	0.0	4.38	4.37	4.18
2	2020	1	27	0	0.0	2.09	1.66	1.33
3	2020	1	27	0	0.0	6.8	6.77	6.98
4	2020	1	27	0	0.0	2.32	2.37	2.69
5	2020	1	27	0	0.0	1.26	1.39	0.73
6	2020	1	27	0	0.0	3.58	3.58	4.72
7	2020	1	27	0	0.0	0.72	0.87	0.85
8	2020	1	27	0	0.0	3.09	3.08	2.88
9	2020	1	27	0	0.0	0.64	0.66	0.71
1	2020	1	28	0	0.0	1.21	1.19	1.21
2	2020	1	28	0	0.0	1.2	1.22	0.79
3	2020	1	28	0	0.0	3.12	3.07	3.07
4	2020	1	28	0	0.0	1.84	1.94	1.91
5	2020	1	28	0	0.0	0.87	0.86	1.05
6	2020	1	28	0	0.0	4.74	4.74	4.98
7	2020	1	28	0	0.0	0.53	0.45	0.51
8	2020	1	28	0	0.0	3.57	3.52	4.3
9	2020	1	28	0	0.0	0.59	0.59	0.57
1	2020	1	30	0	0.0	4.23	4.24	3.6
2	2020	1	30	0	0.0	5.41	5.69	7.37
3	2020	1	30	0	0.0	3.13	3.13	2.88
4	2020	1	30	0	0.0	1.56	2.01	1.29
5	2020	1	30	0	0.0	0.59	0.53	0.19
6	2020	1	30	0	0.0	2.56	2.56	2.1
7	2020	1	30	0	0.0	0.08	0.1	0.06
8	2020	1	30	0	0.0	1.35	1.34	1.46
9	2020	1	30	0	0.0	0.74	0.73	0.59
1	2020	1	31	0	0.0	5.59	5.61	5.41
2	2020	1	31	0	0.0	8.58	9.06	8.85
3	2020	1	31	0	0.0	3.19	3.2	2.99
4	2020	1	31	0	0.0	1.41	1.45	0.87
5	2020	1	31	0	0.0	1.05	0.83	0.53
6	2020	1	31	0	0.0	2.89	2.89	2.14
7	2020	1	31	0	0.0	0.27	0.14	0.03
8	2020	1	31	0	0.0	1.34	1.34	1.05
9	2020	1	31	0	0.0	0.95	1.03	0.85
1	2020	2	1	0	0.0	4.61	4.59	6.36
2	2020	2	1	0	0.0	6.52	7.49	7.56
3	2020	2	1	0	0.0	3.81	3.8	3.82
4	2020	2	1	0	0.0	2.34	2.45	2.46
5	2020	2	1	0	0.0	0.8	0.84	1.12
6	2020	2	1	0	0.0	3.35	3.35	2.85
7	2020	2	1	0	0.0	0.88	0.56	0.6
8	2020	2	1	0	0.0	2.74	2.74	2.07
9	2020	2	1	0	0.0	3.22	2.97	2.84
1	2020	2	2	0	0.0	3.59	3.62	3.84
2	2020	2	2	0	0.0	5.48	5.33	5.62
3	2020	2	2	0	0.0	1.97	1.98	2.0
4	2020	2	2	0	0.0	1.44	1.47	1.46
5	2020	2	2	0	0.0	0.22	0.44	0.49
6	2020	2	2	0	0.0	2.25	2.25	2.2
7	2020	2	2	0	0.0	0.01	0.04	0.09
8	2020	2	2	0	0.0	1.59	1.6	2.46
9	2020	2	2	0	0.0	1.04	1.11	1.5
1	2020	2	3	0	0.0	0.88	0.88	1.8
2	2020	2	3	0	0.0	5.44	5.31	2.6
3	2020	2	3	0	0.0	3.73	3.72	2.63
4	2020	2	3	0	0.0	0.54	0.54	0.75
5	2020	2	3	0	0.0	1.43	1.01	0.22
6	2020	2	3	0	0.0	1.96	1.96	1.98
7	2020	2	3	0	0.0	0.46	0.17	0.29
8	2020	2	3	0	0.0	0.66	0.66	1.78
9	2020	2	3	0	0.0	0.64	0.61	0.5
1	2020	2	4	0	0.0	1.8	1.81	1.7
2	2020	2	4	0	0.0	4.03	3.95	3.89
3	2020	2	4	0	0.0	6.31	6.31	6.67
4	2020	2	4	0	0.0	1.84	1.77	1.59
5	2020	2	4	0	0.0	0.66	0.63	0.3
6	2020	2	4	0	0.0	7.06	7.06	9.31
7	2020	2	4	0	0.0	0.67	0.64	0.63
8	2020	2	4	0	0.0	1.26	1.27	1.2
9	2020	2	4	0	0.0	0.54	0.75	0.64
