CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  1  3  0     9.86     3.04     3.03     3.00
  2 2020  1  3  0     9.86    11.22    12.03    11.44
  3 2020  1  3  0     9.86    18.66    18.62    17.81
  4 2020  1  3  0     9.86    15.09    16.36    16.84
  5 2020  1  3  0     9.86     6.98     6.70     8.25
  6 2020  1  3  0     9.86    21.71    21.71    22.51
  7 2020  1  3  0     9.86     8.37     6.68     6.19
  8 2020  1  3  0     9.86    12.95    12.91    13.50
  9 2020  1  3  0     9.86     6.71     6.27     6.30
  1 2020  1  4  0    16.80     2.57     2.57     2.77
  2 2020  1  4  0    16.80    14.41    16.54    16.74
  3 2020  1  4  0    16.80    12.84    12.81    11.93
  4 2020  1  4  0    16.80     2.66     2.67     2.41
  5 2020  1  4  0    16.80     2.31     5.76     2.84
  6 2020  1  4  0    16.80    19.29    19.29    32.73
  7 2020  1  4  0    16.80     0.40     0.38     0.54
  8 2020  1  4  0    16.80     2.14     2.12     2.29
  9 2020  1  4  0    16.80     0.76     0.74     0.99
  1 2020  1  5  0    10.17     1.68     1.67     1.68
  2 2020  1  5  0    10.17     2.63     2.79     3.07
  3 2020  1  5  0    10.17     4.58     4.55     3.93
  4 2020  1  5  0    10.17     2.65     2.60     2.37
  5 2020  1  5  0    10.17     1.21     0.91     1.52
  6 2020  1  5  0    10.17     9.95     9.95    14.53
  7 2020  1  5  0    10.17     0.43     0.30     0.26
  8 2020  1  5  0    10.17     2.83     2.86     2.91
  9 2020  1  5  0    10.17     0.81     0.79     0.72
  1 2020  1  6  0     3.20     2.12     2.13     2.18
  2 2020  1  6  0     3.20     7.55     5.95     5.08
  3 2020  1  6  0     3.20     2.46     2.46     2.33
  4 2020  1  6  0     3.20     1.05     1.06     1.14
  5 2020  1  6  0     3.20     0.29     0.27     0.95
  6 2020  1  6  0     3.20     3.18     3.18     6.90
  7 2020  1  6  0     3.20     0.23     0.23     0.26
  8 2020  1  6  0     3.20     3.08     3.06     3.07
  9 2020  1  6  0     3.20     0.75     0.74     0.69
  1 2020  1  7  0     3.96     4.07     4.07     4.54
  2 2020  1  7  0     3.96     4.75     4.60     4.13
  3 2020  1  7  0     3.96     6.24     6.24     9.15
  4 2020  1  7  0     3.96     2.30     2.84     3.93
  5 2020  1  7  0     3.96     1.50     1.34     5.07
  6 2020  1  7  0     3.96     3.43     3.43     3.82
  7 2020  1  7  0     3.96     3.13     3.38     0.85
  8 2020  1  7  0     3.96    10.79    10.80    11.80
  9 2020  1  7  0     3.96     2.53     2.67     3.35
  1 2020  1  8  0     0.60     4.09     4.09     3.90
  2 2020  1  8  0     0.60     8.86     8.23     6.73
  3 2020  1  8  0     0.60    12.27    12.29    11.84
  4 2020  1  8  0     0.60    12.84    12.54     9.74
  5 2020  1  8  0     0.60     3.11     3.16     3.87
  6 2020  1  8  0     0.60     4.78     4.78     4.04
  7 2020  1  8  0     0.60     4.25     4.43     3.18
  8 2020  1  8  0     0.60     5.52     5.47     6.01
  9 2020  1  8  0     0.60     4.64     4.29     4.11
  1 2020  1  9  0     7.22     4.23     4.23     3.57
  2 2020  1  9  0     7.22    24.01    26.39    20.85
  3 2020  1  9  0     7.22    23.94    23.95    22.15
  4 2020  1  9  0     7.22     2.84     2.82     2.44
  5 2020  1  9  0     7.22     3.95     5.14     4.08
  6 2020  1  9  0     7.22    16.13    16.13    24.78
  7 2020  1  9  0     7.22     3.09     2.58     1.98
  8 2020  1  9  0     7.22     3.55     3.55     3.45
  9 2020  1  9  0     7.22     1.57     1.38     1.73
  1 2020  1 10  0    13.81     2.93     2.93     3.01
  2 2020  1 10  0    13.81    15.29    12.62    17.03
  3 2020  1 10  0    13.81    19.91    19.93    20.00
  4 2020  1 10  0    13.81     6.73     7.08     4.70
  5 2020  1 10  0    13.81     3.18     3.27     3.05
  6 2020  1 10  0    13.81    10.26    10.26     9.07
  7 2020  1 10  0    13.81     5.28     5.82     1.22
  8 2020  1 10  0    13.81     3.17     3.18     2.13
  9 2020  1 10  0    13.81     4.87     4.98     1.40
  1 2020  1 11  0    11.25     3.86     3.85     4.16
  2 2020  1 11  0    11.25    10.62    10.94     8.54
  3 2020  1 11  0    11.25     9.37     9.35    13.05
  4 2020  1 11  0    11.25     1.19     1.22     1.57
  5 2020  1 11  0    11.25     2.82     2.59     3.69
  6 2020  1 11  0    11.25     2.40     2.40     8.70
  7 2020  1 11  0    11.25     0.70     1.03     1.07
  8 2020  1 11  0    11.25     3.79     3.79     3.55
  9 2020  1 11  0    11.25     0.96     1.00     1.32
  1 2020  1 12  0     4.58     2.62     2.62     2.66
  2 2020  1 12  0     4.58    11.91    10.74    12.69
