CAM	Y	M	D	H	Obs	Pred0	Pred24	Pred48
1	2020	1	3	0	18.578	0.79	0.78	1.87
2	2020	1	3	0	18.578	4.77	4.03	2.6
3	2020	1	3	0	18.578	9.76	9.73	9.89
4	2020	1	3	0	18.578	10.61	10.6	14.64
5	2020	1	3	0	18.578	4.74	5.21	2.76
6	2020	1	3	0	18.578	17.64	17.64	8.07
7	2020	1	3	0	18.578	5.01	4.12	4.19
8	2020	1	3	0	18.578	4.93	4.88	3.89
9	2020	1	3	0	18.578	1.22	1.26	1.1
1	2020	1	4	0	15.005	1.66	1.66	1.83
2	2020	1	4	0	15.005	15.68	16.27	4.99
3	2020	1	4	0	15.005	15.17	15.18	15.51
4	2020	1	4	0	15.005	9.79	9.77	10.81
5	2020	1	4	0	15.005	9.59	7.14	7.94
6	2020	1	4	0	15.005	9.25	9.25	13.02
7	2020	1	4	0	15.005	1.24	1.42	1.68
8	2020	1	4	0	15.005	2.17	1.32	1.47
9	2020	1	4	0	15.005	1.12	1.35	1.29
1	2020	1	5	0	14.9467	5.9	5.91	5.05
2	2020	1	5	0	14.9467	9.83	8.95	8.43
3	2020	1	5	0	14.9467	20.67	20.69	20.1
4	2020	1	5	0	14.9467	18.38	18.57	20.99
5	2020	1	5	0	14.9467	10.64	10.1	9.19
6	2020	1	5	0	14.9467	32.95	32.95	26.19
7	2020	1	5	0	14.9467	10.12	8.77	6.75
8	2020	1	5	0	14.9467	11.44	11.75	10.46
9	2020	1	5	0	14.9467	7.71	7.83	9.6
1	2020	1	6	0	17.5915	3.05	3.04	4.09
2	2020	1	6	0	17.5915	3.73	3.91	4.76
3	2020	1	6	0	17.5915	9.99	9.98	9.2
4	2020	1	6	0	17.5915	6.96	7.11	7.11
5	2020	1	6	0	17.5915	11.53	10.79	11.53
6	2020	1	6	0	17.5915	11.49	11.49	3.81
7	2020	1	6	0	17.5915	1.94	3.6	2.99
8	2020	1	6	0	17.5915	6.53	5.56	4.03
9	2020	1	6	0	17.5915	1.89	2.11	1.82
1	2020	1	7	0	39.5767	1.71	1.71	1.63
2	2020	1	7	0	39.5767	2.7	2.53	3.09
3	2020	1	7	0	39.5767	8.44	8.43	9.79
4	2020	1	7	0	39.5767	15.68	15.92	17.71
5	2020	1	7	0	39.5767	10.49	11.86	16.36
6	2020	1	7	0	39.5767	9.76	9.76	19.49
7	2020	1	7	0	39.5767	5.49	5.97	4.53
8	2020	1	7	0	39.5767	7.05	6.08	5.75
9	2020	1	7	0	39.5767	4.06	4.48	4.76
1	2020	1	8	0	11.9078	2.0	1.99	1.42
2	2020	1	8	0	11.9078	9.78	10.85	10.4
3	2020	1	8	0	11.9078	20.1	20.03	20.46
4	2020	1	8	0	11.9078	15.47	15.34	17.31
5	2020	1	8	0	11.9078	4.99	4.78	5.49
6	2020	1	8	0	11.9078	69.84	69.84	85.67
7	2020	1	8	0	11.9078	8.49	7.26	4.03
8	2020	1	8	0	11.9078	16.17	15.68	14.66
9	2020	1	8	0	11.9078	2.83	2.7	3.74
1	2020	1	9	0	16.31	3.65	3.66	2.82
2	2020	1	9	0	16.31	6.2	5.44	6.72
3	2020	1	9	0	16.31	14.56	14.6	14.75
4	2020	1	9	0	16.31	17.77	17.61	15.67
5	2020	1	9	0	16.31	7.47	8.05	8.21
6	2020	1	9	0	16.31	59.25	59.25	37.95
7	2020	1	9	0	16.31	6.78	6.73	8.23
8	2020	1	9	0	16.31	10.19	11.24	11.1
9	2020	1	9	0	16.31	4.85	4.55	3.34
1	2020	1	10	0	11.6783	2.18	2.17	1.56
2	2020	1	10	0	11.6783	4.61	3.24	4.24
3	2020	1	10	0	11.6783	14.2	14.13	9.87
4	2020	1	10	0	11.6783	16.33	16.49	14.95
5	2020	1	10	0	11.6783	6.93	8.55	7.29
6	2020	1	10	0	11.6783	41.25	41.25	26.52
7	2020	1	10	0	11.6783	6.42	5.55	4.51
8	2020	1	10	0	11.6783	8.67	9.46	8.64
9	2020	1	10	0	11.6783	2.34	2.54	2.34
1	2020	1	11	0	8.44633	1.84	1.83	1.75
2	2020	1	11	0	8.44633	10.86	11.48	10.29
3	2020	1	11	0	8.44633	15.45	15.42	7.4
4	2020	1	11	0	8.44633	10.51	10.51	47.77
5	2020	1	11	0	8.44633	3.99	3.82	18.94
6	2020	1	11	0	8.44633	25.52	25.52	3.4
7	2020	1	11	0	8.44633	4.17	4.14	1.36
8	2020	1	11	0	8.44633	6.32	9.76	6.77
9	2020	1	11	0	8.44633	2.31	3.15	5.1
1	2020	1	12	0	10000.0	2.69	2.67	2.63
2	2020	1	12	0	10000.0	6.65	7.13	6.25
3	2020	1	12	0	10000.0	11.68	11.62	12.64
4	2020	1	12	0	10000.0	10.12	10.12	8.6
5	2020	1	12	0	10000.0	12.4	8.07	17.86
6	2020	1	12	0	10000.0	37.35	37.35	19.07
7	2020	1	12	0	10000.0	5.11	5.09	4.5
8	2020	1	12	0	10000.0	7.25	5.8	6.09
9	2020	1	12	0	10000.0	1.08	1.05	1.1
1	2020	1	13	0	2.28333	0.46	0.46	0.62
2	2020	1	13	0	2.28333	27.16	4.81	4.43
3	2020	1	13	0	2.28333	8.44	8.54	10.65
4	2020	1	13	0	2.28333	7.07	7.07	8.4
5	2020	1	13	0	2.28333	22.99	9.08	29.46
6	2020	1	13	0	2.28333	7.88	7.88	13.08
7	2020	1	13	0	2.28333	2.06	2.48	2.16
8	2020	1	13	0	2.28333	3.54	1.95	1.79
9	2020	1	13	0	2.28333	0.67	0.69	0.76
1	2020	1	14	0	10000.0	0.9	0.9	0.99
2	2020	1	14	0	10000.0	14.3	15.9	7.79
3	2020	1	14	0	10000.0	20.03	20.05	16.37
4	2020	1	14	0	10000.0	11.24	11.22	8.71
5	2020	1	14	0	10000.0	4.11	4.37	3.91
6	2020	1	14	0	10000.0	7.75	7.75	9.81
7	2020	1	14	0	10000.0	1.56	1.67	2.42
8	2020	1	14	0	10000.0	2.62	2.25	1.49
9	2020	1	14	0	10000.0	2.12	1.85	1.11
1	2020	1	15	0	18.1683	2.97	2.97	4.28
2	2020	1	15	0	18.1683	40.01	38.94	49.65
3	2020	1	15	0	18.1683	21.9	21.89	24.71
4	2020	1	15	0	18.1683	9.85	9.86	9.67
5	2020	1	15	0	18.1683	2.15	2.07	3.54
6	2020	1	15	0	18.1683	5.8	5.8	5.73
7	2020	1	15	0	18.1683	0.92	1.05	3.2
8	2020	1	15	0	18.1683	1.46	2.95	2.06
9	2020	1	15	0	18.1683	2.01	2.0	1.07
1	2020	1	16	0	0.0	3.72	3.72	3.82
2	2020	1	16	0	0.0	17.13	19.16	23.72
3	2020	1	16	0	0.0	46.62	46.63	43.15
4	2020	1	16	0	0.0	13.53	13.34	13.95
5	2020	1	16	0	0.0	2.95	2.82	14.72
6	2020	1	16	0	0.0	2.64	2.64	2.76
7	2020	1	16	0	0.0	0.99	1.81	1.84
8	2020	1	16	0	0.0	3.93	3.38	3.55
9	2020	1	16	0	0.0	2.86	3.26	4.29
1	2020	1	17	0	6.1274	1.45	1.45	2.99
2	2020	1	17	0	6.1274	2.87	2.93	3.84
3	2020	1	17	0	6.1274	8.27	8.27	11.75
4	2020	1	17	0	6.1274	12.81	12.82	20.12
5	2020	1	17	0	6.1274	17.01	18.88	24.75
6	2020	1	17	0	6.1274	22.04	22.04	28.3
7	2020	1	17	0	6.1274	5.94	1.91	4.13
8	2020	1	17	0	6.1274	3.43	3.24	5.16
9	2020	1	17	0	6.1274	1.19	1.3	3.07
1	2020	1	18	0	11.0145	1.83	1.83	3.46
2	2020	1	18	0	11.0145	2.73	2.81	2.64
3	2020	1	18	0	11.0145	8.3	8.3	9.63
4	2020	1	18	0	11.0145	21.57	21.81	23.33
5	2020	1	18	0	11.0145	26.71	26.71	29.24
6	2020	1	18	0	11.0145	7.82	7.82	10.26
7	2020	1	18	0	11.0145	6.12	5.65	6.13
8	2020	1	18	0	11.0145	3.48	6.32	7.24
9	2020	1	18	0	11.0145	2.67	2.69	3.23
1	2020	1	19	0	11.6467	1.51	1.5	1.62
2	2020	1	19	0	11.6467	7.67	8.6	3.8
3	2020	1	19	0	11.6467	9.62	9.62	9.9
4	2020	1	19	0	11.6467	7.97	7.79	9.05
5	2020	1	19	0	11.6467	2.17	1.99	2.36
6	2020	1	19	0	11.6467	13.72	13.72	19.94
7	2020	1	19	0	11.6467	3.67	3.87	5.31
8	2020	1	19	0	11.6467	4.48	3.83	2.44
9	2020	1	19	0	11.6467	1.46	1.36	0.81
1	2020	1	20	0	13.4703	4.03	4.02	3.81
2	2020	1	20	0	13.4703	5.31	5.36	6.77
3	2020	1	20	0	13.4703	19.53	19.5	26.65
4	2020	1	20	0	13.4703	15.59	15.79	26.93
5	2020	1	20	0	13.4703	11.26	13.15	11.73
6	2020	1	20	0	13.4703	58.24	58.24	74.98
7	2020	1	20	0	13.4703	10.34	11.11	15.14
8	2020	1	20	0	13.4703	14.08	14.57	16.86
9	2020	1	20	0	13.4703	5.83	6.48	25.4
1	2020	1	21	0	15.5195	2.57	2.57	2.26
2	2020	1	21	0	15.5195	5.78	5.71	7.35
3	2020	1	21	0	15.5195	17.78	17.77	19.28
4	2020	1	21	0	15.5195	20.76	21.05	19.48
5	2020	1	21	0	15.5195	8.96	10.93	3.81
6	2020	1	21	0	15.5195	54.63	54.63	75.07
7	2020	1	21	0	15.5195	7.67	7.91	11.89
8	2020	1	21	0	15.5195	11.37	11.94	12.85
9	2020	1	21	0	15.5195	4.89	6.02	5.57
1	2020	1	22	0	0.0	0.98	0.98	1.54
2	2020	1	22	0	0.0	3.03	2.88	4.51
3	2020	1	22	0	0.0	3.3	3.3	5.12
4	2020	1	22	0	0.0	4.68	4.68	3.96
5	2020	1	22	0	0.0	7.14	7.43	6.81
6	2020	1	22	0	0.0	6.55	6.55	5.24
7	2020	1	22	0	0.0	1.08	1.14	1.28
8	2020	1	22	0	0.0	1.69	1.15	2.99
9	2020	1	22	0	0.0	0.54	0.55	1.07
1	2020	1	23	0	25.5533	1.32	1.32	1.55
2	2020	1	23	0	25.5533	6.25	7.05	6.52
3	2020	1	23	0	25.5533	20.31	20.29	21.16
4	2020	1	23	0	25.5533	15.01	15.42	17.46
5	2020	1	23	0	25.5533	7.2	7.2	7.61
6	2020	1	23	0	25.5533	44.91	44.91	52.45
7	2020	1	23	0	25.5533	7.77	7.99	9.17
8	2020	1	23	0	25.5533	11.97	12.11	11.87
9	2020	1	23	0	25.5533	3.63	3.41	4.33
1	2020	1	24	0	43.8017	2.72	2.72	2.76
2	2020	1	24	0	43.8017	10.29	9.24	8.94
3	2020	1	24	0	43.8017	24.58	24.61	21.23
4	2020	1	24	0	43.8017	26.05	25.41	25.05
5	2020	1	24	0	43.8017	4.02	4.73	6.33
6	2020	1	24	0	43.8017	77.59	77.59	75.18
7	2020	1	24	0	43.8017	9.32	10.62	10.09
8	2020	1	24	0	43.8017	17.61	17.05	15.53
9	2020	1	24	0	43.8017	8.13	8.45	8.68
1	2020	1	25	0	10.0912	0.64	0.64	0.7
2	2020	1	25	0	10.0912	1.63	1.5	1.6
3	2020	1	25	0	10.0912	2.7	2.7	2.58
4	2020	1	25	0	10.0912	5.77	5.76	5.64
5	2020	1	25	0	10.0912	2.37	1.94	1.15
6	2020	1	25	0	10.0912	5.77	5.77	6.92
7	2020	1	25	0	10.0912	0.77	0.55	0.42
