CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  1  3  0     1.28     0.73     0.73     1.01
  2 2020  1  3  0     1.28     5.15     4.36     2.81
  3 2020  1  3  0     1.28    10.62    10.59     9.19
  4 2020  1  3  0     1.28     9.32     9.31     9.21
  5 2020  1  3  0     1.28     4.61     4.93     2.25
  6 2020  1  3  0     1.28    18.39    18.39     8.42
  7 2020  1  3  0     1.28     6.23     5.10     4.64
  8 2020  1  3  0     1.28     5.26     5.10     3.40
  9 2020  1  3  0     1.28     1.30     1.33     0.81
  1 2020  1  4  0    17.18     1.43     1.43     1.67
  2 2020  1  4  0    17.18    15.77    16.45     5.08
  3 2020  1  4  0    17.18    14.81    14.82    14.86
  4 2020  1  4  0    17.18    10.27    10.25    11.91
  5 2020  1  4  0    17.18    16.75    13.81    11.41
  6 2020  1  4  0    17.18     9.79     9.79    13.41
  7 2020  1  4  0    17.18     1.23     1.47     1.60
  8 2020  1  4  0    17.18     1.90     2.00     2.50
  9 2020  1  4  0    17.18     1.20     1.44     1.51
  1 2020  1  5  0     8.62     5.96     5.97     5.18
  2 2020  1  5  0     8.62    10.18     9.28     8.78
  3 2020  1  5  0     8.62    21.31    21.33    20.40
  4 2020  1  5  0     8.62    17.90    18.09    20.53
  5 2020  1  5  0     8.62     8.27     7.47     6.99
  6 2020  1  5  0     8.62    35.76    35.76    27.60
  7 2020  1  5  0     8.62    10.30     8.97     6.84
  8 2020  1  5  0     8.62    11.57    11.67    10.51
  9 2020  1  5  0     8.62     8.87     8.64     9.41
  1 2020  1  6  0    10.03     3.01     3.01     3.84
  2 2020  1  6  0    10.03     4.08     4.10     4.90
  3 2020  1  6  0    10.03     9.68     9.68     8.81
  4 2020  1  6  0    10.03     6.94     7.07     7.70
  5 2020  1  6  0    10.03    17.11    16.38    16.71
  6 2020  1  6  0    10.03    12.42    12.42     4.87
  7 2020  1  6  0    10.03     2.19     3.77     3.40
  8 2020  1  6  0    10.03     6.07     6.09     4.41
  9 2020  1  6  0    10.03     1.82     2.13     1.82
  1 2020  1  7  0     6.93     1.60     1.60     1.49
  2 2020  1  7  0     6.93     2.96     2.73     3.31
  3 2020  1  7  0     6.93     8.25     8.25     9.35
  4 2020  1  7  0     6.93    15.83    16.10    18.47
  5 2020  1  7  0     6.93    10.00    10.59    15.71
  6 2020  1  7  0     6.93    10.64    10.64    19.70
  7 2020  1  7  0     6.93     5.37     5.98     4.41
  8 2020  1  7  0     6.93     6.59     6.63     6.29
  9 2020  1  7  0     6.93     3.79     4.36     4.63
  1 2020  1  8  0     2.12     1.89     1.88     1.42
  2 2020  1  8  0     2.12    10.39    11.57    11.15
  3 2020  1  8  0     2.12    20.86    20.79    20.86
  4 2020  1  8  0     2.12    14.52    14.39    15.75
  5 2020  1  8  0     2.12     4.48     4.49     5.03
  6 2020  1  8  0     2.12    70.42    70.42    86.13
  7 2020  1  8  0     2.12     8.27     7.08     4.95
  8 2020  1  8  0     2.12    16.65    16.08    14.69
  9 2020  1  8  0     2.12     2.90     2.75     3.82
  1 2020  1  9  0    14.37     3.55     3.56     2.46
  2 2020  1  9  0    14.37     6.60     5.65     7.15
  3 2020  1  9  0    14.37    15.09    15.13    15.33
  4 2020  1  9  0    14.37    15.39    15.22    13.40
  5 2020  1  9  0    14.37     5.64     5.93     5.44
  6 2020  1  9  0    14.37    60.01    60.01    38.91
  7 2020  1  9  0    14.37     6.72     6.53     7.91
  8 2020  1  9  0    14.37    10.29    11.02    10.90
  9 2020  1  9  0    14.37     4.87     4.55     3.34
  1 2020  1 10  0     7.02     2.00     1.99     1.58
  2 2020  1 10  0     7.02     4.78     3.34     4.23
  3 2020  1 10  0     7.02    14.51    14.44     9.85
  4 2020  1 10  0     7.02    14.23    14.42    12.73
  5 2020  1 10  0     7.02     5.15     5.93     5.57
  6 2020  1 10  0     7.02    41.82    41.82    26.96
  7 2020  1 10  0     7.02     6.05     5.31     4.43
  8 2020  1 10  0     7.02     8.64     9.33     8.14
  9 2020  1 10  0     7.02     2.31     2.47     2.17
  1 2020  1 11  0     4.07     2.85     2.85     1.54
  2 2020  1 11  0     4.07    10.22    11.89    10.42
  3 2020  1 11  0     4.07    13.96    13.94     6.67
  4 2020  1 11  0     4.07     9.26     9.26    33.11
  5 2020  1 11  0     4.07     3.51     3.17    10.63
  6 2020  1 11  0     4.07    25.86    25.86     3.58
  7 2020  1 11  0     4.07     4.28     3.63     0.91
  8 2020  1 11  0     4.07     4.86     7.78     6.08
  9 2020  1 11  0     4.07     1.80     2.52     3.27
  1 2020  1 12  0     1.72     2.24     2.23     2.27
  2 2020  1 12  0     1.72     6.74     7.17     6.32
  3 2020  1 12  0     1.72    10.89    10.83    11.70
  4 2020  1 12  0     1.72    10.07    10.06     8.45
  5 2020  1 12  0     1.72    10.98    11.15    13.35
  6 2020  1 12  0     1.72    38.26    38.26    17.70
  7 2020  1 12  0     1.72     5.05     5.21     4.22
  8 2020  1 12  0     1.72     7.05     6.57     6.44
  9 2020  1 12  0     1.72     1.12     1.10     1.14
  1 2020  1 13  0     0.00     0.34     0.35     0.59
  2 2020  1 13  0     0.00    28.09     4.78     4.53
  3 2020  1 13  0     0.00     8.93     9.03    10.43
  4 2020  1 13  0     0.00     7.66     7.64     8.78
  5 2020  1 13  0     0.00    16.50    12.21    20.46
  6 2020  1 13  0     0.00     8.98     8.98    13.68
  7 2020  1 13  0     0.00     2.25     2.85     2.18
  8 2020  1 13  0     0.00     4.36     3.06     2.43
  9 2020  1 13  0     0.00     0.82     0.88     0.75
  1 2020  1 14  0     4.09     0.91     0.91     0.90
  2 2020  1 14  0     4.09    14.51    16.76     8.12
  3 2020  1 14  0     4.09    19.79    19.81    15.98
  4 2020  1 14  0     4.09    11.06    11.05     8.90
  5 2020  1 14  0     4.09     4.26     4.61     3.90
  6 2020  1 14  0     4.09     9.06     9.06    10.84
  7 2020  1 14  0     4.09     1.93     2.08     2.66
  8 2020  1 14  0     4.09     2.60     2.47     1.86
  9 2020  1 14  0     4.09     2.07     1.80     1.18
  1 2020  1 15  0     4.57     2.21     2.21     3.58
  2 2020  1 15  0     4.57    40.13    38.96    49.92
  3 2020  1 15  0     4.57    21.83    21.83    24.71
  4 2020  1 15  0     4.57     8.60     8.61     9.10
  5 2020  1 15  0     4.57     2.47     2.46     3.02
  6 2020  1 15  0     4.57     7.20     7.20     7.19
  7 2020  1 15  0     4.57     1.17     1.23     3.39
  8 2020  1 15  0     4.57     1.38     2.35     2.44
  9 2020  1 15  0     4.57     2.00     2.02     1.05
  1 2020  1 16  0     3.30     3.62     3.63     4.00
  2 2020  1 16  0     3.30    17.57    19.85    25.31
  3 2020  1 16  0     3.30    46.37    46.40    42.44
  4 2020  1 16  0     3.30    14.21    14.07    14.61
  5 2020  1 16  0     3.30     4.28     3.89    16.14
  6 2020  1 16  0     3.30     3.73     3.73     3.40
  7 2020  1 16  0     3.30     1.04     1.87     1.93
  8 2020  1 16  0     3.30     3.79     3.90     4.21
  9 2020  1 16  0     3.30     2.90     3.29     4.26
  1 2020  1 17  0     2.74     1.43     1.43     2.77
  2 2020  1 17  0     2.74     2.76     2.62     3.83
  3 2020  1 17  0     2.74     7.83     7.82    11.19
  4 2020  1 17  0     2.74    10.63    10.65    15.21
  5 2020  1 17  0     2.74    10.88    12.47    18.73
  6 2020  1 17  0     2.74    23.95    23.95    28.58
  7 2020  1 17  0     2.74     5.45     2.01     3.94
  8 2020  1 17  0     2.74     2.75     3.79     5.19
  9 2020  1 17  0     2.74     1.14     1.13     2.96
  1 2020  1 18  0     2.45     1.79     1.78     2.96
  2 2020  1 18  0     2.45     2.56     2.62     2.57
  3 2020  1 18  0     2.45     7.60     7.59     8.77
  4 2020  1 18  0     2.45    14.84    15.10    16.32
