CAM	Y	M 	D 	H	Obs	Pred0	Pred24	Pred48
  1 2020  1  3  0     8.25     6.63     6.64     4.93
  2 2020  1  3  0     8.25    11.19     9.54    11.38
  3 2020  1  3  0     8.25     7.60     7.61    15.77
  4 2020  1  3  0     8.25     1.09     1.09     2.37
  5 2020  1  3  0     8.25     2.25     0.92     1.51
  6 2020  1  3  0     8.25     1.09     1.09    22.14
  7 2020  1  3  0     8.25     3.49     2.61     5.04
  8 2020  1  3  0     8.25     9.63     9.65    20.10
  9 2020  1  3  0     8.25     2.15     2.20     3.22
  1 2020  1  4  0     6.16    10.60    10.60     8.51
  2 2020  1  4  0     6.16    29.46    28.14    29.37
  3 2020  1  4  0     6.16     5.91     5.91     5.22
  4 2020  1  4  0     6.16     1.04     1.04     0.96
  5 2020  1  4  0     6.16     2.04     1.99     1.59
  6 2020  1  4  0     6.16    14.73    14.73     5.60
  7 2020  1  4  0     6.16     2.65     1.83     3.20
  8 2020  1  4  0     6.16     2.66     2.67     2.89
  9 2020  1  4  0     6.16     0.85     0.85     0.80
  1 2020  1  5  0    10.34     8.66     8.65    11.27
  2 2020  1  5  0    10.34     7.43     6.91     5.08
  3 2020  1  5  0    10.34     9.74     9.73     8.45
  4 2020  1  5  0    10.34     5.73     5.75     4.40
  5 2020  1  5  0    10.34     1.32     1.47     1.32
  6 2020  1  5  0    10.34    25.83    25.83    23.67
  7 2020  1  5  0    10.34     5.44     5.21     5.89
  8 2020  1  5  0    10.34     3.89     3.90     3.64
  9 2020  1  5  0    10.34     1.52     1.44     1.15
  1 2020  1  6  0     7.04     2.35     2.35     2.34
  2 2020  1  6  0     7.04     5.86     3.79     3.76
  3 2020  1  6  0     7.04     2.27     2.27     3.82
  4 2020  1  6  0     7.04     0.75     0.77     0.99
  5 2020  1  6  0     7.04     0.29     0.27     0.38
  6 2020  1  6  0     7.04     5.71     5.71     4.96
  7 2020  1  6  0     7.04     1.08     1.15     1.19
  8 2020  1  6  0     7.04     1.63     1.63     1.76
  9 2020  1  6  0     7.04     0.59     0.62     1.02
  1 2020  1  7  0     4.95     2.91     2.91     2.81
  2 2020  1  7  0     4.95     5.92     6.80     5.42
  3 2020  1  7  0     4.95     2.32     2.32     2.99
  4 2020  1  7  0     4.95     0.74     0.74     0.69
  5 2020  1  7  0     4.95     0.36     0.38     0.56
  6 2020  1  7  0     4.95     3.38     3.38     3.48
  7 2020  1  7  0     4.95     1.24     1.38     1.19
  8 2020  1  7  0     4.95     1.90     1.88     1.79
  9 2020  1  7  0     4.95     0.57     0.59     0.70
  1 2020  1  8  0     4.62     2.84     2.86     2.19
  2 2020  1  8  0     4.62     9.56     9.76    11.33
  3 2020  1  8  0     4.62    17.50    17.62    12.26
  4 2020  1  8  0     4.62     2.23     2.24     1.44
  5 2020  1  8  0     4.62     0.65     0.60     0.29
  6 2020  1  8  0     4.62     5.10     5.10     2.91
  7 2020  1  8  0     4.62     2.60     3.18     2.38
  8 2020  1  8  0     4.62     3.16     3.15     2.82
  9 2020  1  8  0     4.62     2.21     2.36     1.35
  1 2020  1  9  0    27.61     7.57     7.59     9.11
  2 2020  1  9  0    27.61    28.96    32.52    32.12
  3 2020  1  9  0    27.61    13.31    13.35    13.14
  4 2020  1  9  0    27.61     0.80     0.80     0.85
  5 2020  1  9  0    27.61     2.72     2.45     2.79
  6 2020  1  9  0    27.61     6.64     6.64    18.87
  7 2020  1  9  0    27.61     2.33     1.13     1.76
  8 2020  1  9  0    27.61     1.39     1.39     1.48
  9 2020  1  9  0    27.61     0.73     0.83     0.93
  1 2020  1 10  0    27.17     8.90     8.92     2.91
  2 2020  1 10  0    27.17    12.40    15.52    14.85
  3 2020  1 10  0    27.17    19.26    19.28    22.15
  4 2020  1 10  0    27.17    17.17    16.82    11.29
  5 2020  1 10  0    27.17     3.14     3.41     2.92
  6 2020  1 10  0    27.17    34.39    34.39    25.83
  7 2020  1 10  0    27.17    16.23     8.26    15.59
  8 2020  1 10  0    27.17     6.15     6.17     4.30
  9 2020  1 10  0    27.17     5.85     5.83     3.53
  1 2020  1 11  0     7.81     8.80     8.79     5.44
  2 2020  1 11  0     7.81    14.37    14.09    15.35
  3 2020  1 11  0     7.81    20.97    20.97    13.34
  4 2020  1 11  0     7.81    10.70    10.93     3.81
  5 2020  1 11  0     7.81     2.16     2.11     2.71
  6 2020  1 11  0     7.81    22.46    22.46    16.17
  7 2020  1 11  0     7.81    10.71     9.22     9.19
  8 2020  1 11  0     7.81     4.46     4.45     1.89
  9 2020  1 11  0     7.81     3.82     3.70     2.01
  1 2020  1 12  0     5.83     4.49     4.49     7.09
  2 2020  1 12  0     5.83     8.21     7.44    10.82
  3 2020  1 12  0     5.83     1.05     1.05     1.49
  4 2020  1 12  0     5.83     0.76     0.77     0.80
  5 2020  1 12  0     5.83     2.53     1.65     0.47
  6 2020  1 12  0     5.83     1.28     1.28     1.56
  7 2020  1 12  0     5.83     0.90     1.01     2.15
  8 2020  1 12  0     5.83     1.41     1.38     1.29
  9 2020  1 12  0     5.83     0.57     0.56     0.55
  1 2020  1 13  0     5.83     8.47     8.48     3.99
  2 2020  1 13  0     5.83    18.72    20.26    20.34
  3 2020  1 13  0     5.83     9.55     9.57    11.85
  4 2020  1 13  0     5.83     1.19     1.19     2.63
  5 2020  1 13  0     5.83     2.91     2.96     0.92
  6 2020  1 13  0     5.83     9.10     9.10     8.96
  7 2020  1 13  0     5.83     3.65     4.67     7.89
  8 2020  1 13  0     5.83     6.02     6.02     5.10
  9 2020  1 13  0     5.83     1.57     1.80     1.20
  1 2020  1 14  0     6.93     3.59     3.58     9.79
  2 2020  1 14  0     6.93    19.40    18.98    18.54
  3 2020  1 14  0     6.93     7.10     7.09     2.89
  4 2020  1 14  0     6.93     1.36     1.36     0.96
  5 2020  1 14  0     6.93     3.01     2.39     1.41
  6 2020  1 14  0     6.93     4.47     4.47     3.35
  7 2020  1 14  0     6.93     5.87     4.16     4.79
  8 2020  1 14  0     6.93     2.47     2.50     1.73
  9 2020  1 14  0     6.93     0.77     0.84     0.78
  1 2020  1 15  0     4.95     3.63     3.65     4.01
  2 2020  1 15  0     4.95     7.66     7.28     5.21
  3 2020  1 15  0     4.95     3.95     3.97     4.06
  4 2020  1 15  0     4.95     1.13     1.16     1.11
  5 2020  1 15  0     4.95     0.39     0.38     0.25
  6 2020  1 15  0     4.95     1.36     1.36     1.85
  7 2020  1 15  0     4.95     1.25     1.54     1.56
  8 2020  1 15  0     4.95     1.90     1.91     1.64
  9 2020  1 15  0     4.95     2.09     2.28     2.08
  1 2020  1 16  0    15.73     3.15     3.13     4.07
  2 2020  1 16  0    15.73     7.23     6.57     8.44
  3 2020  1 16  0    15.73     1.46     1.45     1.56
  4 2020  1 16  0    15.73     0.74     0.79     1.31
  5 2020  1 16  0    15.73     0.34     0.44     1.07
  6 2020  1 16  0    15.73     1.23     1.23     2.26
  7 2020  1 16  0    15.73     1.33     1.09     1.43
  8 2020  1 16  0    15.73     1.21     1.21     1.98
  9 2020  1 16  0    15.73     0.62     0.61     2.03
  1 2020  1 17  0     6.38     5.26     5.35     6.08
  2 2020  1 17  0     6.38     8.69     8.18    12.96
  3 2020  1 17  0     6.38     4.59     4.65     7.03
  4 2020  1 17  0     6.38     1.70     1.79     1.35
  5 2020  1 17  0     6.38     0.75     0.72     0.60
  6 2020  1 17  0     6.38     3.67     3.67     5.01
  7 2020  1 17  0     6.38     2.02     3.56     3.32
  8 2020  1 17  0     6.38     2.00     2.03     1.67
  9 2020  1 17  0     6.38     2.20     2.28     1.46
  1 2020  1 18  0    12.76     3.10     3.12     3.51
  2 2020  1 18  0    12.76     3.57     5.16     8.41
  3 2020  1 18  0    12.76     3.17     3.18     2.63
  4 2020  1 18  0    12.76     1.41     5.08     1.98
  5 2020  1 18  0    12.76     0.72     0.72     0.63
  6 2020  1 18  0    12.76     1.58     1.58     3.03
  7 2020  1 18  0    12.76     1.53     1.40     1.40
  8 2020  1 18  0    12.76     1.75     1.77     1.50
  9 2020  1 18  0    12.76     1.12     1.23     1.36
  1 2020  1 19  0    14.85     1.52     1.53     2.52
  2 2020  1 19  0    14.85     5.01     5.05     7.41
  3 2020  1 19  0    14.85     1.88     1.89     2.54
  4 2020  1 19  0    14.85     0.94     1.40     2.10
  5 2020  1 19  0    14.85     0.60     0.70     0.27
  6 2020  1 19  0    14.85     1.78     1.78     1.67
  7 2020  1 19  0    14.85     0.91     0.75     1.06
  8 2020  1 19  0    14.85     1.32     1.33     1.98
  9 2020  1 19  0    14.85     0.90     0.95     1.09
  1 2020  1 20  0     3.08     3.03     3.03     3.22
  2 2020  1 20  0     3.08    10.80    10.68     9.22
  3 2020  1 20  0     3.08     4.62     4.62     3.22
  4 2020  1 20  0     3.08     1.89     1.86     1.00
  5 2020  1 20  0     3.08     0.55     0.52     0.38
  6 2020  1 20  0     3.08    11.83    11.83    15.21
  7 2020  1 20  0     3.08     2.08     2.94     1.45
  8 2020  1 20  0     3.08     1.76     1.74     1.34
  9 2020  1 20  0     3.08     1.26     1.18     0.83
  1 2020  1 21  0    22.77    14.22    14.26     5.44
  2 2020  1 21  0    22.77    17.36    17.78    20.03
  3 2020  1 21  0    22.77    26.08    26.13    14.23
  4 2020  1 21  0    22.77    13.61    13.14     1.10
  5 2020  1 21  0    22.77     4.18     3.54     2.60
  6 2020  1 21  0    22.77    27.39    27.39    54.05
  7 2020  1 21  0    22.77    21.05    16.25     8.57
